| 02-KR-21 | 35 | 01 | 249 | | ON |
| 24-VW-38 | 2858 | 01 | 263 | | ON |
| 60-PP-91 | 2942 | 01 | 82 | | OFF |
| 81-HO-12 | 2942 | 01 | 174 | | ON |
| 60-PP-91 | 3148 | 01 | 106 | | OFF |
| 80-CQ-01 | 3200 | 01 | 221 | | ON |
| 87-IW-63 | 3203 | 01 | 41 | | OFF |
| 02-KR-21 | 3222 | 01 | 182 | | ON |
| 24-VW-38 | 3235 | 01 | 101 | | OFF |
| 87-IW-63 | 3292 | 01 | 195 | | ON |
| 06-UF-65 | 3315 | 01 | 5 | | OFF |
| 87-IW-63 | 3342 | 01 | 256 | | ON |
| 61-SF-78 | 3376 | 01 | 87 | | OFF |
| 60-PP-91 | 3451 | 01 | 187 | | ON |
| 60-PP-91 | 3482 | 01 | 57 | | OFF |
| 02-KR-21 | 3554 | 01 | 175 | | ON |
| 24-VW-38 | 3572 | 01 | 10 | | OFF |
| 78-SR-10 | 3595 | 01 | 274 | | ON |
| 78-SR-10 | 3627 | 01 | 45 | | OFF |
| 06-UF-65 | 3678 | 01 | 157 | | ON |
| 60-PP-91 | 3690 | 01 | 77 | | OFF |
| 80-CQ-01 | 3697 | 01 | 257 | | ON |
| 02-KR-21 | 3900 | 01 | 29 | | OFF |
| 61-SF-78 | 3903 | 01 | 182 | | ON |
| 61-SF-78 | 3991 | 01 | 27 | | OFF |
| 12-VI-17 | 4007 | 01 | 198 | | ON |
| 80-CQ-01 | 4042 | 01 | 45 | | OFF |
| 80-CQ-01 | 4059 | 01 | 292 | | ON |
| 78-SR-10 | 4160 | 01 | 9 | | OFF |
| 80-CQ-01 | 4195 | 01 | 255 | | ON |
| 80-CQ-01 | 4217 | 01 | 57 | | OFF |
| 06-UF-65 | 4219 | 01 | 147 | | ON |
| 12-VI-17 | 4234 | 01 | 116 | | OFF |
| 24-VW-38 | 4291 | 01 | 260 | | ON |
| 87-IW-63 | 4383 | 01 | 9 | | OFF |
| 80-CQ-01 | 4589 | 01 | 163 | | ON |
| 12-VI-17 | 4662 | 01 | 16 | | OFF |
| 02-KR-21 | 4668 | 01 | 262 | | ON |
| 81-HO-12 | 4695 | 01 | 85 | | OFF |
| 02-KR-21 | 4698 | 01 | 263 | | ON |
| 78-SR-10 | 4778 | 01 | 65 | | OFF |
| 80-CQ-01 | 4786 | 01 | 207 | | ON |
| 02-KR-21 | 4819 | 01 | 94 | | OFF |
| 24-VW-38 | 4831 | 01 | 213 | | ON |
| 78-SR-10 | 4841 | 01 | 118 | | OFF |
| 78-SR-10 | 4870 | 01 | 237 | | ON |
| 24-VW-38 | 4920 | 01 | 58 | | OFF |
| 81-HO-12 | 4921 | 01 | 178 | | ON |
| 02-KR-21 | 4976 | 01 | 16 | | OFF |
| 81-HO-12 | 4990 | 01 | 139 | | ON |
| 12-VI-17 | 4994 | 01 | 105 | | OFF |
| 24-VW-38 | 5034 | 01 | 131 | | ON |
| 12-VI-17 | 5035 | 01 | 18 | | OFF |
| 06-UF-65 | 5057 | 01 | 253 | | ON |
| 78-SR-10 | 5097 | 01 | 105 | | OFF |
| 02-KR-21 | 5198 | 01 | 260 | | ON |
| 24-VW-38 | 5278 | 01 | 54 | | OFF |
| 12-VI-17 | 5336 | 01 | 144 | | ON |
| 12-VI-17 | 5386 | 01 | 34 | | OFF |
| 80-CQ-01 | 5455 | 01 | 220 | | ON |
| 02-KR-21 | 5717 | 01 | 108 | | OFF |
| 60-PP-91 | 5719 | 01 | 232 | | ON |
| 06-UF-65 | 5759 | 01 | 7 | | OFF |
| 81-HO-12 | 5797 | 01 | 180 | | ON |
| 78-SR-10 | 5801 | 01 | 61 | | OFF |
| 60-PP-91 | 5810 | 01 | 276 | | ON |
| 81-HO-12 | 5893 | 01 | 45 | | OFF |
| 12-VI-17 | 5933 | 01 | 174 | | ON |
| 24-VW-38 | 6147 | 01 | 96 | | OFF |
| 81-HO-12 | 6177 | 01 | 172 | | ON |
| 80-CQ-01 | 6426 | 01 | 64 | | OFF |
| 24-VW-38 | 6456 | 01 | 266 | | ON |
| 02-KR-21 | 6494 | 01 | 106 | | OFF |
| 60-PP-91 | 6496 | 01 | 184 | | ON |
| 24-VW-38 | 6671 | 01 | 59 | | OFF |
| 60-PP-91 | 6836 | 01 | 183 | | ON |
| 87-IW-63 | 6951 | 01 | 1 | | OFF |
| 06-UF-65 | 7013 | 01 | 225 | | ON |
| 87-IW-63 | 7082 | 01 | 100 | | OFF |
| 12-VI-17 | 7115 | 01 | 234 | | ON |
| 24-VW-38 | 7181 | 01 | 1 | | OFF |
| 12-VI-17 | 7185 | 01 | 173 | | ON |
| 81-HO-12 | 7201 | 01 | 0 | | OFF |
| 12-VI-17 | 7202 | 01 | 215 | | ON |
| 06-UF-65 | 7231 | 01 | 51 | | OFF |
| 80-CQ-01 | 7231 | 01 | 253 | | ON |
| 60-PP-91 | 7399 | 01 | 41 | | OFF |
| 24-VW-38 | 7410 | 01 | 151 | | ON |
| 80-CQ-01 | 7436 | 01 | 24 | | OFF |
| 02-KR-21 | 7458 | 01 | 217 | | ON |
| 61-SF-78 | 7484 | 01 | 16 | | OFF |
| 06-UF-65 | 7511 | 01 | 288 | | ON |
| 60-PP-91 | 7598 | 01 | 31 | | OFF |
| 02-KR-21 | 7636 | 01 | 292 | | ON |
| 78-SR-10 | 7649 | 01 | 11 | | OFF |
| 02-KR-21 | 7692 | 01 | 130 | | ON |
| 78-SR-10 | 7790 | 01 | 76 | | OFF |
| 60-PP-91 | 7797 | 01 | 153 | | ON |
| 02-KR-21 | 7829 | 01 | 45 | | OFF |
| 81-HO-12 | 7836 | 01 | 177 | | ON |
| 87-IW-63 | 7885 | 01 | 47 | | OFF |
| 02-KR-21 | 7888 | 01 | 285 | | ON |
| 80-CQ-01 | 8084 | 01 | 54 | | OFF |
| 80-CQ-01 | 8153 | 01 | 141 | | ON |
| 60-PP-91 | 8201 | 01 | 50 | | OFF |
| 60-PP-91 | 8390 | 01 | 211 | | ON |
| 60-PP-91 | 8491 | 01 | 28 | | OFF |
| 87-IW-63 | 8504 | 01 | 121 | | ON |
| 80-CQ-01 | 8514 | 01 | 32 | | OFF |
| 12-VI-17 | 8550 | 01 | 284 | | ON |
| 81-HO-12 | 8571 | 01 | 67 | | OFF |
| 24-VW-38 | 8578 | 01 | 189 | | ON |
| 81-HO-12 | 8620 | 01 | 77 | | OFF |
| 12-VI-17 | 8639 | 01 | 272 | | ON |
| 87-IW-63 | 8645 | 01 | 4 | | OFF |
| 78-SR-10 | 8666 | 01 | 167 | | ON |
| 78-SR-10 | 8695 | 01 | 6 | | OFF |
| 80-CQ-01 | 8741 | 01 | 262 | | ON |
| 06-UF-65 | 8793 | 01 | 77 | | OFF |
| 78-SR-10 | 8863 | 01 | 181 | | ON |
| 87-IW-63 | 8966 | 01 | 87 | | OFF |
| 80-CQ-01 | 8993 | 01 | 166 | | ON |
| 12-VI-17 | 9002 | 01 | 109 | | OFF |
| 06-UF-65 | 9053 | 01 | 144 | | ON |
| 60-PP-91 | 9063 | 01 | 117 | | OFF |
| 24-VW-38 | 9069 | 01 | 261 | | ON |
| 80-CQ-01 | 9069 | 01 | 50 | | OFF |
| 24-VW-38 | 9088 | 01 | 181 | | ON |
| 12-VI-17 | 9105 | 01 | 99 | | OFF |
| 06-UF-65 | 9154 | 01 | 282 | | ON |
| 02-KR-21 | 9197 | 01 | 56 | | OFF |
| 02-KR-21 | 9243 | 01 | 261 | | ON |
| 81-HO-12 | 9265 | 01 | 57 | | OFF |
| 12-VI-17 | 9280 | 01 | 264 | | ON |
| 24-VW-38 | 9315 | 01 | 0 | | OFF |
| 87-IW-63 | 9342 | 01 | 243 | | ON |
| 06-UF-65 | 9346 | 01 | 15 | | OFF |
| 61-SF-78 | 9438 | 01 | 194 | | ON |
| 78-SR-10 | 9515 | 01 | 53 | | OFF |
| 80-CQ-01 | 9517 | 01 | 250 | | ON |
| 78-SR-10 | 9535 | 01 | 48 | | OFF |
| 02-KR-21 | 9558 | 01 | 157 | | ON |
| 87-IW-63 | 9565 | 01 | 10 | | OFF |
| 61-SF-78 | 9599 | 01 | 233 | | ON |
| 87-IW-63 | 9667 | 01 | 3 | | OFF |
| 78-SR-10 | 9700 | 01 | 257 | | ON |
| 87-IW-63 | 9709 | 01 | 88 | | OFF |
| 02-KR-21 | 9733 | 01 | 198 | | ON |
| 06-UF-65 | 9788 | 01 | 65 | | OFF |
| 60-PP-91 | 9900 | 01 | 173 | | ON |
| 02-KR-21 | 10041 | 01 | 27 | | OFF |
| 61-SF-78 | 10074 | 01 | 235 | | ON |
| 87-IW-63 | 10093 | 01 | 83 | | OFF |
| 80-CQ-01 | 10213 | 01 | 278 | | ON |
| 24-VW-38 | 10240 | 01 | 32 | | OFF |
| 81-HO-12 | 10253 | 01 | 295 | | ON |
| 61-SF-78 | 10285 | 01 | 106 | | OFF |
| 81-HO-12 | 10317 | 01 | 256 | | ON |
| 06-UF-65 | 10342 | 01 | 60 | | OFF |
| 60-PP-91 | 10461 | 01 | 162 | | ON |
| 24-VW-38 | 10712 | 01 | 33 | | OFF |
| 60-PP-91 | 10776 | 01 | 129 | | ON |
| 78-SR-10 | 10829 | 01 | 78 | | OFF |
| 24-VW-38 | 10839 | 01 | 124 | | ON |
| 60-PP-91 | 10878 | 01 | 89 | | OFF |
| 87-IW-63 | 10883 | 01 | 243 | | ON |
| 87-IW-63 | 10888 | 01 | 0 | | OFF |
| 06-UF-65 | 10917 | 01 | 173 | | ON |
| 06-UF-65 | 10985 | 01 | 44 | | OFF |
| 02-KR-21 | 10994 | 01 | 248 | | ON |
| 61-SF-78 | 11103 | 01 | 103 | | OFF |
| 12-VI-17 | 11125 | 01 | 243 | | ON |
| 02-KR-21 | 11138 | 01 | 100 | | OFF |
| 81-HO-12 | 11233 | 01 | 182 | | ON |
| 81-HO-12 | 11310 | 01 | 51 | | OFF |
| 06-UF-65 | 11362 | 01 | 278 | | ON |
| 78-SR-10 | 11363 | 01 | 26 | | OFF |
| 06-UF-65 | 11413 | 01 | 221 | | ON |
| 87-IW-63 | 11451 | 01 | 61 | | OFF |
| 12-VI-17 | 11478 | 01 | 278 | | ON |
| 80-CQ-01 | 11509 | 01 | 6 | | OFF |
| 80-CQ-01 | 11520 | 01 | 195 | | ON |
| 60-PP-91 | 11800 | 01 | 91 | | OFF |
| 87-IW-63 | 11815 | 01 | 201 | | ON |
| 60-PP-91 | 11920 | 01 | 63 | | OFF |
| 06-UF-65 | 11921 | 01 | 253 | | ON |
| 12-VI-17 | 11923 | 01 | 13 | | OFF |
| 60-PP-91 | 12022 | 01 | 252 | | ON |
| 24-VW-38 | 12030 | 01 | 67 | | OFF |
| 06-UF-65 | 12139 | 01 | 274 | | ON |
| 60-PP-91 | 12175 | 01 | 83 | | OFF |
| 06-UF-65 | 12269 | 01 | 196 | | ON |
| 24-VW-38 | 12297 | 01 | 96 | | OFF |
| 60-PP-91 | 12326 | 01 | 229 | | ON |
| 80-CQ-01 | 12378 | 01 | 63 | | OFF |
| 12-VI-17 | 12460 | 01 | 296 | | ON |
| 06-UF-65 | 12518 | 01 | 62 | | OFF |
| 61-SF-78 | 12563 | 01 | 295 | | ON |
| 80-CQ-01 | 12624 | 01 | 88 | | OFF |
| 80-CQ-01 | 12631 | 01 | 219 | | ON |
| 02-KR-21 | 12665 | 01 | 65 | | OFF |
| 24-VW-38 | 12758 | 01 | 138 | | ON |
| 12-VI-17 | 12878 | 01 | 81 | | OFF |
| 24-VW-38 | 12878 | 01 | 198 | | ON |
| 87-IW-63 | 12898 | 01 | 92 | | OFF |
| 06-UF-65 | 12903 | 01 | 200 | | ON |
| 02-KR-21 | 12984 | 01 | 3 | | OFF |
| 78-SR-10 | 12998 | 01 | 246 | | ON |
| 24-VW-38 | 13068 | 01 | 59 | | OFF |
| 61-SF-78 | 13080 | 01 | 213 | | ON |
| 78-SR-10 | 13100 | 01 | 75 | | OFF |
| 81-HO-12 | 13115 | 01 | 283 | | ON |
| 12-VI-17 | 13271 | 01 | 77 | | OFF |
| 80-CQ-01 | 13287 | 01 | 287 | | ON |
| 81-HO-12 | 13376 | 01 | 93 | | OFF |
| 60-PP-91 | 13406 | 01 | 267 | | ON |
| 60-PP-91 | 13491 | 01 | 107 | | OFF |
| 06-UF-65 | 13531 | 01 | 259 | | ON |
| 60-PP-91 | 13578 | 01 | 91 | | OFF |
| 24-VW-38 | 13609 | 01 | 223 | | ON |
| 24-VW-38 | 13612 | 01 | 100 | | OFF |
| 06-UF-65 | 13632 | 01 | 158 | | ON |
| 12-VI-17 | 13664 | 01 | 102 | | OFF |
| 06-UF-65 | 13708 | 01 | 197 | | ON |
| 02-KR-21 | 13713 | 01 | 37 | | OFF |
| 78-SR-10 | 13737 | 01 | 212 | | ON |
| 78-SR-10 | 13759 | 01 | 41 | | OFF |
| 61-SF-78 | 13771 | 01 | 280 | | ON |
| 60-PP-91 | 13810 | 01 | 37 | | OFF |
| 06-UF-65 | 13815 | 01 | 167 | | ON |
| 24-VW-38 | 13889 | 01 | 48 | | OFF |
| 78-SR-10 | 13918 | 01 | 293 | | ON |
| 80-CQ-01 | 13923 | 01 | 32 | | OFF |
| 81-HO-12 | 13980 | 01 | 135 | | ON |
| 87-IW-63 | 14045 | 01 | 25 | | OFF |
| 24-VW-38 | 14078 | 01 | 231 | | ON |
| 02-KR-21 | 14085 | 01 | 33 | | OFF |
| 80-CQ-01 | 14166 | 01 | 285 | | ON |
| 78-SR-10 | 14206 | 01 | 28 | | OFF |
| 61-SF-78 | 14241 | 01 | 142 | | ON |
| 80-CQ-01 | 14245 | 01 | 44 | | OFF |
| 24-VW-38 | 14249 | 01 | 249 | | ON |
| 78-SR-10 | 14360 | 01 | 102 | | OFF |
| 02-KR-21 | 14365 | 01 | 236 | | ON |
| 81-HO-12 | 14467 | 01 | 34 | | OFF |
| 61-SF-78 | 14475 | 01 | 138 | | ON |
| 12-VI-17 | 14481 | 01 | 15 | | OFF |
| 12-VI-17 | 14509 | 01 | 161 | | ON |
| 87-IW-63 | 14550 | 01 | 24 | | OFF |
| 24-VW-38 | 14578 | 01 | 150 | | ON |
| 81-HO-12 | 14618 | 01 | 102 | | OFF |
| 61-SF-78 | 14619 | 01 | 216 | | ON |
| 87-IW-63 | 14689 | 01 | 24 | | OFF |
| 80-CQ-01 | 14748 | 01 | 274 | | ON |
| 80-CQ-01 | 14819 | 01 | 102 | | OFF |
| 78-SR-10 | 14841 | 01 | 286 | | ON |
| 60-PP-91 | 14930 | 01 | 62 | | OFF |
| 87-IW-63 | 14981 | 01 | 125 | | ON |
| 80-CQ-01 | 15034 | 01 | 12 | | OFF |
| 06-UF-65 | 15049 | 01 | 201 | | ON |
| 06-UF-65 | 15144 | 01 | 44 | | OFF |
| 87-IW-63 | 15171 | 01 | 190 | | ON |
| 12-VI-17 | 15173 | 01 | 93 | | OFF |
| 87-IW-63 | 15179 | 01 | 229 | | ON |
| 61-SF-78 | 15304 | 01 | 112 | | OFF |
| 06-UF-65 | 15328 | 01 | 173 | | ON |
| 60-PP-91 | 15328 | 01 | 116 | | OFF |
| 12-VI-17 | 15396 | 01 | 295 | | ON |
| 81-HO-12 | 15543 | 01 | 66 | | OFF |
| 81-HO-12 | 15574 | 01 | 156 | | ON |
| 61-SF-78 | 15589 | 01 | 90 | | OFF |
| 12-VI-17 | 15629 | 01 | 264 | | ON |
| 60-PP-91 | 15669 | 01 | 21 | | OFF |
| 61-SF-78 | 15678 | 01 | 204 | | ON |
| 78-SR-10 | 15712 | 01 | 37 | | OFF |
| 24-VW-38 | 15811 | 01 | 121 | | ON |
| 61-SF-78 | 15861 | 01 | 93 | | OFF |
| 02-KR-21 | 15888 | 01 | 253 | | ON |
| 12-VI-17 | 15896 | 01 | 40 | | OFF |
| 24-VW-38 | 15913 | 01 | 124 | | ON |
| 02-KR-21 | 15918 | 01 | 18 | | OFF |
| 78-SR-10 | 15926 | 01 | 219 | | ON |
| 06-UF-65 | 16015 | 01 | 79 | | OFF |
| 60-PP-91 | 16015 | 01 | 129 | | ON |
| 12-VI-17 | 16084 | 01 | 21 | | OFF |
| 87-IW-63 | 16169 | 01 | 258 | | ON |
| 87-IW-63 | 16232 | 01 | 97 | | OFF |
| 80-CQ-01 | 16293 | 01 | 283 | | ON |
| 06-UF-65 | 16299 | 01 | 55 | | OFF |
| 87-IW-63 | 16361 | 01 | 295 | | ON |
| 80-CQ-01 | 16411 | 01 | 21 | | OFF |
| 61-SF-78 | 16421 | 01 | 206 | | ON |
| 02-KR-21 | 16450 | 01 | 105 | | OFF |
| 81-HO-12 | 16460 | 01 | 178 | | ON |
| 02-KR-21 | 16469 | 01 | 115 | | OFF |
| 02-KR-21 | 16488 | 01 | 283 | | ON |
| 61-SF-78 | 16538 | 01 | 78 | | OFF |
| 06-UF-65 | 16540 | 01 | 228 | | ON |
| 78-SR-10 | 16561 | 01 | 109 | | OFF |
| 02-KR-21 | 16596 | 01 | 253 | | ON |
| 81-HO-12 | 16605 | 01 | 31 | | OFF |
| 06-UF-65 | 16618 | 01 | 221 | | ON |
| 60-PP-91 | 16627 | 01 | 81 | | OFF |
| 80-CQ-01 | 16631 | 01 | 218 | | ON |
| 87-IW-63 | 16754 | 01 | 82 | | OFF |
| 02-KR-21 | 16766 | 01 | 123 | | ON |
| 12-VI-17 | 16834 | 01 | 7 | | OFF |
| 02-KR-21 | 16980 | 01 | 216 | | ON |
| 80-CQ-01 | 17005 | 01 | 10 | | OFF |
| 61-SF-78 | 17066 | 01 | 288 | | ON |
| 12-VI-17 | 17076 | 01 | 46 | | OFF |
| 06-UF-65 | 17120 | 01 | 157 | | ON |
| 24-VW-38 | 17198 | 01 | 2 | | OFF |
| 60-PP-91 | 17223 | 01 | 282 | | ON |
| 87-IW-63 | 17236 | 01 | 13 | | OFF |
| 81-HO-12 | 17253 | 01 | 297 | | ON |
| 60-PP-91 | 17278 | 01 | 91 | | OFF |
| 60-PP-91 | 17279 | 01 | 247 | | ON |
| 78-SR-10 | 17303 | 01 | 111 | | OFF |
| 61-SF-78 | 17321 | 01 | 199 | | ON |
| 81-HO-12 | 17492 | 01 | 62 | | OFF |
| 24-VW-38 | 17493 | 01 | 126 | | ON |
| 61-SF-78 | 17645 | 01 | 105 | | OFF |
| 60-PP-91 | 17657 | 01 | 134 | | ON |
| 61-SF-78 | 17679 | 01 | 90 | | OFF |
| 60-PP-91 | 17741 | 01 | 266 | | ON |
| 78-SR-10 | 17749 | 01 | 72 | | OFF |
| 80-CQ-01 | 17782 | 01 | 144 | | ON |
| 81-HO-12 | 17824 | 01 | 108 | | OFF |
| 80-CQ-01 | 17836 | 01 | 248 | | ON |
| 06-UF-65 | 17869 | 01 | 110 | | OFF |
| 80-CQ-01 | 17917 | 01 | 264 | | ON |
| 80-CQ-01 | 17921 | 01 | 7 | | OFF |
| 87-IW-63 | 18087 | 01 | 214 | | ON |
| 87-IW-63 | 18122 | 01 | 28 | | OFF |
| 24-VW-38 | 18133 | 01 | 191 | | ON |
| 06-UF-65 | 18218 | 01 | 54 | | OFF |
| 06-UF-65 | 18243 | 01 | 224 | | ON |
| 24-VW-38 | 18290 | 01 | 29 | | OFF |
| 87-IW-63 | 18309 | 01 | 269 | | ON |
| 06-UF-65 | 18436 | 01 | 30 | | OFF |
| 60-PP-91 | 18491 | 01 | 188 | | ON |
| 06-UF-65 | 18500 | 01 | 119 | | OFF |
| 87-IW-63 | 18514 | 01 | 299 | | ON |
| 80-CQ-01 | 18598 | 01 | 114 | | OFF |
| 78-SR-10 | 18610 | 01 | 139 | | ON |
| 81-HO-12 | 18634 | 01 | 102 | | OFF |
| 80-CQ-01 | 18680 | 01 | 125 | | ON |
| 61-SF-78 | 18724 | 01 | 105 | | OFF |
| 24-VW-38 | 18728 | 01 | 279 | | ON |
| 06-UF-65 | 18815 | 01 | 85 | | OFF |
| 60-PP-91 | 18834 | 01 | 134 | | ON |
| 06-UF-65 | 18930 | 01 | 20 | | OFF |
| 61-SF-78 | 18959 | 01 | 132 | | ON |
| 60-PP-91 | 19060 | 01 | 77 | | OFF |
| 60-PP-91 | 19061 | 01 | 172 | | ON |
| 60-PP-91 | 19129 | 01 | 98 | | OFF |
| 78-SR-10 | 19150 | 01 | 125 | | ON |
| 24-VW-38 | 19184 | 01 | 43 | | OFF |
| 06-UF-65 | 19245 | 01 | 202 | | ON |
| 81-HO-12 | 19271 | 01 | 73 | | OFF |
| 80-CQ-01 | 19290 | 01 | 199 | | ON |
| 24-VW-38 | 19306 | 01 | 103 | | OFF |
| 12-VI-17 | 19316 | 01 | 136 | | ON |
| 12-VI-17 | 19355 | 01 | 75 | | OFF |
| 12-VI-17 | 19376 | 01 | 217 | | ON |
| 24-VW-38 | 19426 | 01 | 92 | | OFF |
| 12-VI-17 | 19458 | 01 | 143 | | ON |
| 81-HO-12 | 19536 | 01 | 110 | | OFF |
| 87-IW-63 | 19625 | 01 | 190 | | ON |
| 81-HO-12 | 19656 | 01 | 93 | | OFF |
| 87-IW-63 | 19659 | 01 | 293 | | ON |
| 61-SF-78 | 19708 | 01 | 85 | | OFF |
| 80-CQ-01 | 19716 | 01 | 135 | | ON |
| 87-IW-63 | 19842 | 01 | 23 | | OFF |
| 80-CQ-01 | 19860 | 01 | 196 | | ON |
| 06-UF-65 | 19873 | 01 | 101 | | OFF |
| 61-SF-78 | 20096 | 01 | 168 | | ON |
| 12-VI-17 | 20162 | 01 | 75 | | OFF |
| 60-PP-91 | 20196 | 01 | 155 | | ON |
| 78-SR-10 | 20201 | 01 | 7 | | OFF |
| 60-PP-91 | 20229 | 01 | 150 | | ON |
| 06-UF-65 | 20301 | 01 | 116 | | OFF |
| 60-PP-91 | 20323 | 01 | 251 | | ON |
| 78-SR-10 | 20332 | 01 | 22 | | OFF |
| 12-VI-17 | 20431 | 01 | 202 | | ON |
| 78-SR-10 | 20441 | 01 | 69 | | OFF |
| 02-KR-21 | 20461 | 01 | 188 | | ON |
| 81-HO-12 | 20509 | 01 | 88 | | OFF |
| 80-CQ-01 | 20591 | 01 | 213 | | ON |
| 24-VW-38 | 20698 | 01 | 24 | | OFF |
| 78-SR-10 | 20702 | 01 | 167 | | ON |
| 60-PP-91 | 20724 | 01 | 64 | | OFF |
| 81-HO-12 | 20744 | 01 | 128 | | ON |
| 12-VI-17 | 20874 | 01 | 87 | | OFF |
| 61-SF-78 | 20875 | 01 | 215 | | ON |
| 06-UF-65 | 20897 | 01 | 71 | | OFF |
| 78-SR-10 | 20938 | 01 | 196 | | ON |
| 80-CQ-01 | 21020 | 01 | 76 | | OFF |
| 80-CQ-01 | 21068 | 01 | 201 | | ON |
| 60-PP-91 | 21285 | 01 | 23 | | OFF |
| 60-PP-91 | 21313 | 01 | 256 | | ON |
| 78-SR-10 | 21337 | 01 | 56 | | OFF |
| 61-SF-78 | 21354 | 01 | 216 | | ON |
| 80-CQ-01 | 21390 | 01 | 102 | | OFF |
| 02-KR-21 | 21461 | 01 | 229 | | ON |
| 81-HO-12 | 21481 | 01 | 34 | | OFF |
| 12-VI-17 | 21539 | 01 | 193 | | ON |
| 06-UF-65 | 21551 | 01 | 47 | | OFF |
| 61-SF-78 | 21552 | 01 | 162 | | ON |
| 06-UF-65 | 21560 | 01 | 21 | | OFF |
| 80-CQ-01 | 21596 | 01 | 179 | | ON |
| 60-PP-91 | 21610 | 01 | 101 | | OFF |
| 24-VW-38 | 21623 | 01 | 295 | | ON |
| 60-PP-91 | 21627 | 01 | 74 | | OFF |
| 87-IW-63 | 21670 | 01 | 244 | | ON |
| 24-VW-38 | 21673 | 01 | 40 | | OFF |
| 12-VI-17 | 21686 | 01 | 234 | | ON |
| 78-SR-10 | 21862 | 01 | 58 | | OFF |
| 80-CQ-01 | 21867 | 01 | 220 | | ON |
| 06-UF-65 | 21895 | 01 | 101 | | OFF |
